Nombre,Categoría,Dirección,Población,Teléfono,Web
"Juana Dog","Tienda de productos para mascotas","Carrer de Castelao, 68, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 22 95 20","http://www.juanadog.com/"
"Mascotart hospitalet","Tienda de animales","Carrer Santa Eulàlia, 50, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","931 75 60 11","https://instagram.com/mascotart_hospitalet?utm_medium=copy_link"
"Zootropolis","Peluquero de mascotas","Av. de Josep Tarradellas i Joan, 142, Local B Local B, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","931 28 82 43","https://www.instagram.com/zootropolis_lh/"
"La Mascoteria L'H | Peluquería canina","Tienda de productos para mascotas","Avinguda d'Álvarez de Castro, 51, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","937 82 25 94","https://www.lamascoterialh.com/"
"Pets Planet","Tienda de animales","Av. Carmen Amaya, 18, 08902 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","679 45 87 84","http://www.pplanet.net/"
"Aquazoo Ana","Pajarería","Carrer Hierbabuena, 43, LOCAL-2, 08906 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","934 38 31 37","http://www.aquazooana.com/"
"ZOO GARDEN","Tienda de animales","Carrer Príncep de Bergara, 20, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","930 13 09 74","https://www.zoogardenlh.es/"
"Peluqueria Canina Mascotas","Tienda de productos para mascotas","Carrer Provença, 29-31, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 38 49 84",""
"La Cova de les Mascotes","Tienda de animales","Carrer Bòbiles, 92, 08905 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","935 15 15 75",""
"Amics Per Sempre","Tienda de alimentos para animales","Carrer Mestre Candi, 1, 08901 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","933 37 80 54",""
"Mascotas Florida","Tienda de animales","Avinguda Miraflores, 48, 08905 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","",""
"Tienda Ladridos","Tienda de productos para mascotas","Carrer del Molí, 52, 08906 L'Hospitalet de Llobregat, Barcelona","L'Hospitalet de Llobregat","640 01 70 04","http://www.tiendaladridos.com/"
